História do Crédito,Dívida,Garantia,Renda,Risco
Ruim,Alta,Nenhuma,$0 a $15K,Alto
Desconhecida,Alta,Nenhuma,$15 a $35K,Alto
Desconhecida,Baixa,Nenhuma,$15 a $35K,Moderado
Desconhecida,Baixa,Nenhuma,$0 a $15K,Alto
Desconhecida,Baixa,Nenhuma,Acima de $35K,Baixo
Desconhecida,Baixa,Adequada,Acima de $35K,Baixo
Ruim,Baixa,Nenhuma,$0 a $15K,Alto
Ruim,Baixa,Adequada,Acima de $35K,Moderado
Boa,Baixa,Nenhuma,Acima de $35K,Baixo
Boa,Alta,Adequada,Acima de $35K,Baixo
Boa,Alta,Nenhuma,$0 a $15K,Alto
Boa,Alta,Nenhuma,$15 a $35K,Moderado
Boa,Alta,Nenhuma,Acima de $35K,Baixo
Ruim,Alta,Nenhuma,$15 a $35K,Alto
Ruim,Alta,Adequada,$15 a $35K,Moderado
Ruim,Alta,Adequada,$0 a $15K,Moderado
Desconhecida,Alta,Adequada,$15 a $35K,Moderado
Boa,Baixa,Adequada,$15 a $35K,Baixo
Boa,Baixa,Adequada,$0 a $15K,Baixo
Desconhecida,Baixa,Nenhuma,$0 a $15K,Baixo
